time,scid,pkt_num,active_num,conn_type,pns,send_time
668108,50ce57750bb9ee64ec1ff7b4,97,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249716489
669362,50ce57750bb9ee64ec1ff7b4,98,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249717757
669375,50ce57750bb9ee64ec1ff7b4,99,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249717757
670523,50ce57750bb9ee64ec1ff7b4,100,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249718904
673331,50ce57750bb9ee64ec1ff7b4,101,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249721625
705282,50ce57750bb9ee64ec1ff7b4,102,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249511869
705358,50ce57750bb9ee64ec1ff7b4,103,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249753752
705384,50ce57750bb9ee64ec1ff7b4,104,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249753752
709034,50ce57750bb9ee64ec1ff7b4,105,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249757399
719419,50ce57750bb9ee64ec1ff7b4,106,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249767765
753300,50ce57750bb9ee64ec1ff7b4,107,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249801618
753317,50ce57750bb9ee64ec1ff7b4,108,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249801618
765704,50ce57750bb9ee64ec1ff7b4,109,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249814020
765729,50ce57750bb9ee64ec1ff7b4,110,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249814020
765744,50ce57750bb9ee64ec1ff7b4,111,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249814020
765757,50ce57750bb9ee64ec1ff7b4,112,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249814020
765773,50ce57750bb9ee64ec1ff7b4,113,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249814020
765787,50ce57750bb9ee64ec1ff7b4,114,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249814020
765801,50ce57750bb9ee64ec1ff7b4,115,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249814020
765817,50ce57750bb9ee64ec1ff7b4,116,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249814020
765830,50ce57750bb9ee64ec1ff7b4,117,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249814020
765855,50ce57750bb9ee64ec1ff7b4,118,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249814020
766857,50ce57750bb9ee64ec1ff7b4,119,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249511869
766907,50ce57750bb9ee64ec1ff7b4,120,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249815314
766921,50ce57750bb9ee64ec1ff7b4,121,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249815314
769488,50ce57750bb9ee64ec1ff7b4,122,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249817828
770783,50ce57750bb9ee64ec1ff7b4,123,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249819144
771958,50ce57750bb9ee64ec1ff7b4,124,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249820325
774045,50ce57750bb9ee64ec1ff7b4,125,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249822428
776327,50ce57750bb9ee64ec1ff7b4,126,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249824664
777523,50ce57750bb9ee64ec1ff7b4,127,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249825874
779804,50ce57750bb9ee64ec1ff7b4,128,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249828149
780999,50ce57750bb9ee64ec1ff7b4,129,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249829344
783354,50ce57750bb9ee64ec1ff7b4,130,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249831624
784611,50ce57750bb9ee64ec1ff7b4,131,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249832913
786925,50ce57750bb9ee64ec1ff7b4,132,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249835245
788138,50ce57750bb9ee64ec1ff7b4,133,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249836481
